role;company;where;start_date;end_date;details
FONDECYT 1190436 (ref. Oscar Macclure oscar.macclure@gmail.com);Asistente de Investigación;Santiago, Chile;Septiembre 2019;Diciembre 2020;Asistente técnico Fondecyt Regular: La posición de uno mismo en la sociedad (lo justo y lo injusto en el espejo social)
FONDECYT 1190436 (ref. Oscar Macclure oscar.macclure@gmail.com);Asistente de Investigación;Santiago, Chile;Septiembre 2019;Diciembre 2020;Análisis cualitativo de los productos para el año 1 (grupos focales)
FONDECYT 1190436 (ref. Oscar Macclure oscar.macclure@gmail.com);Asistente de Investigación;Santiago, Chile;Septiembre 2019;Diciembre 2020;Diseño de la etapa cuantitativa del estudio: instrumentos de medición y diseño experimental
FONDECYT 1190436 (ref. Oscar Macclure oscar.macclure@gmail.com);Asistente de Investigación;Santiago, Chile;Septiembre 2019;Diciembre 2020;Apoyo operativo y reportes de investigación
FONDECYT 1181239 (ref. Daniel Miranda damiranda@gmail.com);;;Agosto 2019;Marzo 2020;Asistente técnico Fondecyt Regular: Socialización política y educación para la ciudadanía: el rol de la familia y la escuela
FONDECYT 1181239 (ref. Daniel Miranda damiranda@gmail.com);;;Agosto 2019;Marzo 2020;Procesamiento, análisis y reporte: Estudio Internacional de Educación Cívica y Formación Ciudadana  (ICCS
FONDECYT 1181239 (ref. Daniel Miranda damiranda@gmail.com);;;Agosto 2019;Marzo 2020;Procesamiento, análisis y reporte: Primer Estudio Nacional de Formación Ciudadana (Agencia de calidad de la educación
FONDECYT 1160921 (ref. Juan Carlos Castillo juancastillov@uchile.cl);Apoyo Técnico;Santiago, Chile;Noviembre 2018;Febrero 2019;Apoyo técnico Fondecyt Regular: Economía moral de la meritocracia y preferencias redistributivas
FONDECYT 1160921 (ref. Juan Carlos Castillo juancastillov@uchile.cl);Apoyo Técnico;Santiago, Chile;Noviembre 2018;Febrero 2019;Construcción de una base de datos con la información de la encuesta Latinobarómetro para el año 2008
FONDECYT 1160921 (ref. Juan Carlos Castillo juancastillov@uchile.cl);Apoyo Técnico;Santiago, Chile;Noviembre 2018;Febrero 2019;Construcción de indicadores y modelos estadísticos en R
